experience_years,age,education_level,working_hours,performance_score,projects_completed,salary
2,24,1,50,3,4,54563
24,39,3,36,5,13,141468
21,22,4,38,5,15,136798
8,46,1,43,10,13,103477
14,54,1,39,7,8,101700
4,34,4,35,2,5,76864
22,35,4,45,4,8,123466
12,40,2,53,4,4,82658
13,54,4,37,8,10,112628
19,39,2,35,10,11,137519
14,29,4,38,3,16,123074
15,27,3,43,2,5,103744
22,50,1,50,9,19,136523
12,33,4,41,4,5,89073
16,47,3,39,9,14,127661
22,33,4,47,6,16,140854
7,35,1,45,1,2,48276
20,29,4,48,3,18,123193
1,43,4,51,7,1,81519
4,23,1,46,9,8,74539
5,54,4,53,8,8,93843
11,39,1,39,5,6,85094
17,48,2,42,8,15,122682
21,43,4,36,2,5,118132
21,27,3,51,3,8,108307
0,32,4,36,8,12,93058
16,34,1,37,9,1,98695
10,35,1,54,10,13,114077
9,23,3,52,8,4,102005
18,35,3,49,4,10,106516
13,44,1,39,6,14,103945
9,28,2,51,5,5,76169
14,25,2,48,4,5,96770
18,24,1,35,9,15,120099
3,34,2,48,10,19,91444
1,36,3,43,3,3,53108
8,40,2,39,1,4,75496
9,44,3,38,7,5,95251
10,26,4,35,10,12,113029
13,51,3,37,8,13,120917
6,26,4,54,3,12,94593
22,35,3,45,3,9,124701
14,49,3,50,6,16,115249
21,23,2,45,2,17,118119
18,31,3,44,6,6,117478
21,23,1,46,5,3,98036
14,48,4,39,7,15,118847
23,30,4,44,9,9,136915
7,53,3,47,9,19,106596
10,36,1,53,1,18,93104
8,30,3,41,7,2,97519
14,53,3,50,3,18,117390
0,23,2,40,4,12,65386
0,25,3,44,2,7,50516
18,32,3,44,1,17,109183
2,33,2,45,10,18,104087
9,44,2,44,3,17,86087
7,52,1,48,10,18,113063
14,36,2,49,9,3,108964
9,52,4,41,1,12,98414
0,41,4,47,3,11,77633
17,32,1,45,5,14,109983
1,41,3,41,3,14,78213
18,41,1,45,4,9,95512
12,26,2,48,4,18,110348
21,29,3,51,1,7,107287
0,21,1,50,6,18,79974
1,32,1,35,7,8,70597
15,34,4,43,7,6,118122
14,26,1,43,6,7,91903
12,21,3,44,7,8,108481
15,42,1,53,3,16,95299
16,54,1,49,5,14,109564
20,31,2,50,7,15,124416
6,23,1,45,10,6,90893
23,26,3,51,5,9,131031
16,26,4,53,10,18,133585
6,40,4,47,2,5,79677
12,41,4,40,6,11,115450
4,22,4,49,7,14,90367
16,46,2,50,2,9,91140
2,51,3,38,10,17,98553
6,46,2,42,8,3,84684
16,52,4,41,5,10,125295
6,30,2,51,8,4,90894
20,43,1,50,3,12,99990
0,26,3,36,2,9,69524
16,43,1,51,7,6,110405
16,48,2,38,5,10,109572
10,50,1,48,5,3,70216
24,34,2,42,8,3,133168
2,52,2,39,9,4,79202
14,54,3,39,8,8,116851
20,42,3,39,10,0,115752
10,51,3,39,2,15,90934
15,27,4,37,10,4,120285
24,41,3,40,7,4,123843
21,36,1,35,5,6,119470
8,40,3,42,7,7,91856
23,39,3,47,3,18,131982
23,52,3,54,4,0,119316
0,35,2,40,7,17,89487
24,25,2,52,2,10,127461
21,31,3,52,2,15,118287
15,35,2,50,1,10,95952
8,49,2,42,1,8,75169
18,24,4,51,1,6,97537
11,43,1,42,6,14,105936
18,35,2,49,5,10,116004
21,23,1,44,10,18,148435
8,52,2,35,8,6,91771
6,30,3,43,5,15,90815
13,42,2,51,1,2,82638
18,34,2,54,8,15,125223
18,37,1,35,6,7,112548
1,41,3,43,8,9,76802
8,35,4,48,2,8,91257
12,35,1,39,10,2,89482
14,21,3,40,8,6,105169
2,44,3,39,6,7,71739
10,32,1,38,1,2,71470
20,30,2,50,1,15,119763
13,51,3,50,10,13,126463
24,31,4,44,5,6,131245
7,36,2,48,7,3,90540
17,29,1,47,4,5,91823
18,34,1,38,10,6,116693
15,39,1,48,5,11,92527
1,51,1,43,10,6,66316
7,29,4,37,3,0,77478
21,46,4,44,2,17,137683
5,28,3,49,2,10,80030
11,44,4,53,5,10,94816
14,28,1,36,4,16,106290
24,39,4,36,2,11,137303
7,50,2,43,5,18,93363
3,42,2,38,10,17,97585
14,29,3,39,9,12,115176
19,24,1,36,8,9,124990
24,28,4,41,9,18,150661
16,21,3,53,9,3,115163
12,48,3,40,8,14,114358
17,26,4,50,9,17,142415
1,31,3,48,4,0,59343
12,25,1,46,8,18,112236
12,44,4,40,2,1,90490
21,38,2,47,9,9,132381
14,40,2,49,9,17,113135
19,48,4,48,3,3,111904
9,33,3,42,6,9,98540
2,25,3,54,7,3,80960
18,50,2,45,3,17,107876
2,21,2,43,5,19,87693
21,42,1,46,1,3,87231
13,38,3,40,3,14,110550
7,25,1,53,8,17,95751
22,51,2,37,3,8,106723
3,26,2,35,8,19,91099
19,47,2,49,9,16,138207
10,45,2,49,6,2,77765
10,49,1,39,7,12,85888
10,48,2,45,6,6,98563
1,36,4,35,8,13,95960
16,32,3,44,7,5,120555
8,40,2,54,10,13,109123
1,38,3,45,1,13,64997
23,54,2,41,3,13,127886
14,43,1,51,3,19,99896
15,47,3,46,3,17,109359
24,37,1,38,4,8,111372
3,41,2,46,1,11,65890
7,51,4,37,2,13,88703
8,23,4,52,5,15,95693
4,37,4,46,6,1,82596
15,46,4,53,9,15,130217
12,43,4,47,2,17,109877
6,26,1,50,9,8,88393
19,48,4,42,7,7,118595
16,28,2,40,9,0,113198
2,28,1,44,4,4,50093
4,39,1,44,7,6,81221
18,49,4,40,1,9,118089
11,43,3,42,8,10,111457
6,52,2,52,7,11,95159
8,30,1,51,7,0,69485
5,47,2,44,2,5,67944
16,21,3,36,10,3,119611
15,49,1,46,9,2,99246
22,23,2,54,8,3,118721
2,51,4,44,1,5,58918
20,31,1,43,1,4,98786
3,42,1,50,5,8,68712
9,38,1,41,2,3,72542
4,26,1,43,1,13,68380
20,23,4,40,10,14,154273
21,25,3,44,8,3,131119
9,29,3,41,4,13,95453
11,48,2,52,2,9,78224
9,39,4,45,5,6,90810
12,48,4,35,6,17,110227
10,47,2,53,8,19,111611
21,33,4,39,7,14,135336
15,41,4,40,7,7,120823
7,47,1,41,1,8,60521
7,26,1,38,3,4,67424
24,31,1,50,3,5,100785
7,37,4,44,7,11,98553
12,27,4,49,2,6,97481
1,50,3,47,10,6,85853
11,41,1,42,7,14,109742
9,21,2,47,9,18,116395
11,45,4,41,1,12,91627
10,52,1,51,2,17,81250
14,28,3,38,6,9,106653
15,25,1,41,2,7,85108
16,50,3,50,2,10,99173
1,28,3,36,5,7,73579
17,39,4,48,7,7,129347
11,50,3,48,4,14,108599
18,35,3,42,6,1,113364
22,47,2,40,3,19,118491
17,33,3,41,4,12,112375
16,34,2,41,4,17,105405
5,50,2,36,4,11,87485
24,33,1,38,1,7,98149
14,36,1,47,4,16,106883
2,27,4,44,4,5,78383
5,47,4,43,6,15,106261
2,35,4,49,9,13,98917
0,48,3,46,10,9,87845
12,27,1,44,6,1,82051
20,40,3,53,6,12,136150
13,52,1,39,7,0,83316
12,52,3,41,7,17,123852
3,46,4,54,1,13,68509
6,40,1,45,8,2,73305
21,38,1,50,1,14,102880
9,35,2,47,9,8,101347
6,42,1,38,4,12,77094
20,42,1,50,9,4,111437
14,41,3,47,8,4,114676
14,22,4,35,9,1,108679
3,38,2,38,6,0,72252
22,43,3,49,9,16,149711
22,33,1,50,4,18,118374
5,29,3,38,3,16,78133
23,27,4,51,3,8,116495
19,21,2,45,8,9,129223
4,22,3,39,2,14,70467
19,24,1,47,6,12,122454
11,34,3,46,9,16,110007
0,52,1,37,9,6,74658
7,22,2,38,8,3,93014
0,34,2,44,8,2,74281
4,40,3,43,1,0,50757
21,45,2,44,7,6,119776
5,28,4,47,1,4,65300
20,48,3,35,9,16,139894
2,41,1,46,3,16,69376
14,43,3,45,1,14,102137
4,52,1,42,8,2,79777
23,28,2,48,7,2,119316
13,51,1,48,2,1,75121
17,36,1,54,7,7,113805
15,47,1,51,5,12,103523
5,38,1,53,7,5,67475
24,35,4,54,10,4,147322
23,47,1,51,7,12,133057
13,37,3,40,2,0,80993
23,22,4,48,2,17,134685
7,51,1,52,7,6,71856
6,54,1,51,3,16,75992
7,54,1,40,4,7,74533
12,23,4,39,7,18,124941
5,37,1,47,2,15,78537
17,34,1,50,2,13,103317
1,34,1,43,9,19,96292
7,21,2,46,1,9,66174
10,49,3,44,3,1,77305
0,24,1,47,10,15,89521
21,53,3,53,4,12,114432
5,37,2,50,5,4,75484
15,48,2,51,3,17,111489
19,46,1,50,9,19,125673
11,28,3,48,5,10,96378
10,54,4,50,7,4,102682
9,38,1,49,7,12,86045
2,51,4,46,9,0,78675
12,47,2,39,2,5,90708
2,36,2,45,3,10,67236
14,30,3,39,4,9,98829
15,32,4,45,8,0,111796
12,42,4,36,1,15,108559
16,36,1,53,9,12,123503
2,32,3,51,5,15,85475
19,31,3,53,4,14,122610
10,40,4,46,8,6,111469
20,21,2,54,9,13,126171
18,47,3,39,3,10,115578
21,23,2,46,4,12,125463
10,32,1,50,1,4,59572
15,50,3,35,3,17,101907
20,29,3,36,10,2,129847
2,21,1,44,5,11,68909
21,24,3,36,8,6,121587
5,35,4,44,1,19,90968
13,47,4,52,1,14,105495
23,28,1,35,3,0,99396
17,43,2,39,9,18,138456
16,35,2,46,9,9,123090
3,47,3,51,1,13,72112
22,51,2,53,4,14,125027
14,28,2,52,8,1,102759
10,50,1,47,2,16,87610
2,38,2,37,4,9,60126
2,24,2,44,7,4,67804
15,42,2,48,7,5,114322
4,23,4,42,5,5,76652
20,35,4,44,7,5,130007
9,53,1,36,6,13,86849
18,34,3,47,2,12,114424
24,21,1,39,9,12,142145
3,46,3,45,5,9,86557
18,28,3,35,2,15,120780
10,36,2,44,6,6,82548
1,30,2,47,10,2,68365
9,46,1,38,5,14,83998
10,48,1,44,2,4,67536
24,32,1,46,10,7,131356
19,40,4,48,10,4,122300
15,34,4,37,7,1,100894
18,49,4,36,10,18,151069
22,32,4,53,2,10,130483
23,38,4,45,7,10,150435
10,22,2,41,6,2,86263
13,22,3,52,4,12,94661
1,37,4,48,4,19,89854
22,30,1,41,6,18,134401
4,38,3,41,9,14,96417
4,42,4,43,10,5,94287
18,39,4,46,6,12,129608
20,21,2,40,6,17,133011
11,44,2,41,1,17,90665
17,45,2,38,5,0,102109
3,51,4,50,1,10,63621
21,51,2,41,9,15,146488
16,22,4,42,10,0,116809
9,39,3,42,4,18,106329
19,32,3,54,2,7,110526
5,30,4,37,9,18,104305
24,51,1,43,6,15,130309
13,42,4,53,10,2,115395
10,43,3,47,3,1,81193
10,43,3,41,2,11,87103
17,35,4,54,6,9,123408
22,46,4,49,10,1,136044
21,23,4,53,6,4,128268
17,43,3,36,9,4,114560
23,40,1,46,5,5,114129
22,28,4,42,9,2,135365
10,38,3,42,5,9,102088
20,26,4,47,2,4,116035
11,47,3,35,1,19,100537
4,35,4,44,9,4,97849
22,25,3,43,10,14,155279
8,29,4,36,7,16,111050
24,27,2,53,3,16,121042
8,40,4,48,6,17,105113
21,30,3,44,10,9,146984
9,46,4,44,4,6,99810
21,24,1,42,9,10,133396
18,44,4,48,2,13,107395
0,34,4,47,4,8,76732
6,21,4,40,1,16,82159
3,37,1,47,7,1,64518
0,44,1,37,4,16,75865
14,47,1,54,5,16,106811
7,27,2,47,1,19,81209
11,29,1,53,2,9,75184
21,32,2,50,4,11,116956
21,41,4,38,2,11,120253
17,23,2,37,1,14,102911
14,35,4,49,10,8,133982
16,41,2,49,1,17,105325
13,30,1,52,6,15,110635
13,53,1,41,2,6,72036
17,26,2,54,3,13,106593
19,22,2,39,5,3,98060
17,49,1,42,3,2,82005
15,53,4,44,6,11,121101
0,24,4,35,7,15,79001
22,24,4,45,10,3,145733
10,49,4,37,6,3,101694
14,40,3,37,2,2,94503
11,43,4,49,9,8,117572
7,38,3,51,2,13,76948
21,45,3,52,6,11,126319
19,21,1,42,9,9,113901
5,35,1,47,9,13,92960
2,54,2,44,2,11,66570
23,40,4,37,9,11,146925
12,47,4,54,8,1,95817
12,42,1,48,7,18,113192
1,25,1,47,8,12,69522
4,54,1,37,10,9,86909
16,23,2,47,8,0,102989
5,37,4,54,1,0,58426
1,44,2,43,9,7,73139
3,44,3,50,6,5,72162
21,23,3,42,1,19,119162
10,27,4,46,1,2,81832
7,45,1,46,7,12,94935
11,23,1,53,10,11,105188
7,35,2,51,2,19,87245
10,49,3,49,6,15,108656
21,49,3,52,5,10,114971
19,30,4,41,5,3,110951
7,52,3,47,10,7,108602
7,43,1,53,6,6,72674
16,29,1,50,8,15,116175
19,34,1,45,5,11,116518
19,24,4,39,8,5,136534
22,40,2,36,5,5,109609
15,48,3,35,10,10,125286
13,34,4,50,6,11,111692
10,54,2,39,8,15,97206
6,33,4,41,2,15,83884
15,51,3,43,7,15,114736
12,53,1,38,3,3,84107
14,48,2,53,9,11,119245
23,45,2,54,10,4,128320
15,52,4,49,7,8,123841
20,29,4,41,3,17,136137
22,48,1,52,8,8,115744
23,51,4,39,10,15,159917
8,37,3,47,2,0,69728
2,43,3,37,10,4,90520
18,33,3,40,8,18,126684
19,30,3,46,7,2,107017
4,36,1,52,5,0,61219
9,26,1,52,4,13,92445
16,31,1,38,10,17,132541
14,23,4,54,10,7,115188
22,48,1,48,1,13,99919
24,35,2,48,4,19,125481
7,33,2,35,6,19,94390
14,37,2,45,6,12,114533
20,27,4,43,2,15,122088
13,48,4,52,9,8,121557
19,33,1,39,1,6,97941
6,37,3,44,4,2,66746
20,35,2,49,4,19,131891
22,48,4,44,2,0,103715
11,35,2,50,8,7,103822
16,31,1,38,2,13,97648
16,51,4,38,2,12,107435
9,24,3,42,2,6,78512
18,54,3,40,1,12,107266
13,47,4,45,5,6,103155
10,30,3,47,4,19,95279
1,50,1,53,2,19,70157
17,40,3,45,1,4,91964
6,49,2,36,1,3,62645
11,49,2,37,2,3,84603
1,43,2,49,1,5,51109
19,41,4,47,9,13,131594
17,30,4,44,2,2,93599
5,32,4,39,3,2,79546
23,50,4,45,9,2,130750
9,53,4,48,5,3,85037
19,38,1,54,8,8,110728
14,34,4,49,7,15,129231
4,42,3,47,6,18,91505
19,41,1,37,2,15,99648
2,21,4,43,4,11,79101
4,35,3,42,9,5,91566
24,42,1,49,7,19,130739
7,52,2,35,3,2,68071
7,53,1,36,6,4,70423
7,43,4,43,8,6,103249
11,22,1,51,8,4,82091
23,22,1,43,8,8,130415
22,49,2,35,8,14,136940
7,23,1,42,10,19,113319
10,27,1,39,6,5,83160
13,49,2,45,10,7,105396
7,43,4,40,3,19,90251
23,36,3,51,9,4,140179
9,51,1,52,3,16,81779
6,54,2,52,4,9,83100
16,21,1,39,10,0,111905
3,38,4,39,1,15,82447
12,35,4,53,2,0,94358
3,37,2,47,6,2,64313
4,30,3,41,1,5,55882
21,40,3,48,9,16,146504
3,26,1,42,8,1,62797
17,28,2,37,2,4,89707
5,54,3,38,2,10,70044
23,52,4,44,8,9,139694
23,24,3,38,8,14,136431
22,40,2,52,1,17,119743
21,44,4,46,5,16,130795
1,44,1,54,2,13,59945
22,46,4,54,1,12,123066
10,45,3,49,3,19,103616
13,27,3,47,3,1,83959
4,30,3,46,10,11,101458
5,32,1,42,9,10,81959
9,21,3,43,10,18,114326
7,45,2,54,1,11,71631
13,36,1,43,2,3,79488
23,25,4,51,9,9,148826
2,39,3,35,5,11,83903
11,24,2,40,9,6,99672
15,26,2,41,6,5,110359
22,46,1,43,10,7,137920
16,29,2,44,10,10,123517
0,34,1,38,3,5,42341
22,29,1,50,8,2,106620
9,35,1,46,9,19,116044
24,40,4,43,2,18,133434
22,28,4,37,9,0,127583
9,52,2,43,4,3,80969
20,41,4,51,8,18,139248
23,39,1,48,5,19,120551
1,49,1,39,6,16,71538
8,51,4,35,4,18,98831
21,26,2,35,5,13,114887
12,24,1,37,1,9,84450
24,49,4,43,3,8,118879
15,23,3,40,4,15,108134
17,21,2,43,1,14,104766
18,35,2,38,3,15,108311
11,41,2,54,4,17,108385
7,51,3,53,9,9,93949
16,27,1,39,3,2,86955
14,37,2,39,3,6,88069
9,39,4,48,4,6,97489
14,23,2,44,9,19,120541
14,50,4,50,9,10,124422
22,49,2,40,1,2,90423
6,34,4,54,8,17,107847
12,48,4,48,10,11,124959
16,50,4,52,1,16,103263
8,46,3,43,2,8,80278
7,27,3,41,10,4,106167
19,51,3,52,5,17,131927
20,25,1,44,6,8,103834
17,34,4,36,2,12,110526
12,47,1,47,10,2,97586
15,44,3,40,5,3,101625
8,49,4,43,3,17,91691
11,42,1,54,7,19,114468
11,28,3,42,1,14,95986
5,35,1,44,5,19,79292
18,25,1,50,3,5,97409
6,24,3,49,2,8,73002
24,31,4,47,3,10,123779
2,38,2,52,10,12,94509
15,50,2,40,4,3,96137
17,35,1,54,2,14,110299
15,26,1,43,2,16,89696
22,36,1,52,3,11,111688
6,29,4,41,2,5,78437
3,54,1,39,6,6,72497
24,47,1,45,2,16,126693
7,33,1,47,1,10,57911
12,47,3,37,8,11,118654
12,29,2,35,10,12,105117
16,25,2,38,4,0,92480
16,42,3,53,2,17,113266
4,51,4,52,4,18,100702
5,23,4,40,2,10,78236
18,50,4,44,5,17,136289
12,41,3,41,7,9,115509
24,26,2,46,6,5,116435
13,48,2,42,2,1,88902
21,52,1,47,4,4,108568
3,45,2,52,8,9,89219
6,52,4,48,7,14,100546
7,42,4,45,7,13,104626
24,44,1,44,4,5,108172
12,50,1,40,1,13,84284
5,52,2,47,7,13,89013
5,51,1,44,6,11,88574
23,43,1,46,8,3,113970
20,53,3,35,5,11,129512
2,45,2,52,8,16,96363
2,44,4,47,10,18,116131
12,51,3,38,8,15,107905
21,33,4,40,9,17,142031
1,30,1,52,1,5,47615
15,43,1,39,3,8,91139
21,38,4,52,6,18,139047
5,52,3,39,4,11,81198
7,53,3,41,8,10,92016
22,48,3,43,10,15,149922
7,36,1,37,1,1,52691
24,36,2,46,5,17,134108
5,38,1,54,4,5,71984
13,28,4,48,1,4,86360
2,36,3,42,10,8,81747
9,31,2,46,6,12,103504
2,26,3,41,10,6,90943
11,21,1,43,3,0,72521
16,32,2,46,5,9,105900
4,48,2,38,6,17,78427
19,37,1,39,4,11,101036
24,21,3,43,10,2,146146
8,52,3,41,10,4,93933
20,28,3,48,6,13,130016
19,44,1,54,7,14,112675
6,30,4,51,2,11,74247
21,30,4,35,7,3,124158
3,45,3,49,7,15,93405
12,30,2,49,2,10,86197
12,39,4,35,3,3,88133
9,35,3,49,3,5,81461
17,36,4,36,1,15,111102
16,22,3,38,1,1,80562
19,49,4,51,10,12,151624
19,24,4,50,6,7,131100
12,49,2,52,9,11,112220
16,51,2,50,9,5,103007
21,37,4,42,1,2,102772
3,30,3,40,7,14,99216
0,47,2,54,6,7,75543
0,35,1,36,4,1,38528
14,51,2,53,3,15,105711
12,41,4,47,9,12,125106
16,46,4,40,10,0,128769
23,37,1,40,5,10,111966
7,23,2,47,8,0,76829
17,34,4,35,4,7,120478
12,33,1,43,4,1,84684
22,47,1,46,6,12,114861
13,21,3,46,6,1,87022
7,37,2,38,3,3,64946
7,54,2,53,2,1,65968
14,34,2,50,9,12,107006
12,37,4,46,2,3,88900
6,23,1,35,9,14,88135
4,54,3,38,8,11,95560
16,45,2,43,10,11,130422
24,22,3,41,7,4,121921
15,54,3,44,5,9,112023
22,46,1,47,3,1,93541
1,51,2,42,2,7,64620
21,29,3,54,8,4,117559
17,50,2,44,2,7,103928
16,40,2,44,8,12,118820
6,41,2,42,5,12,74996
12,49,3,54,9,14,115189
17,45,1,49,4,14,115494
13,45,1,35,8,10,98036
17,29,3,49,7,9,126151
12,46,4,51,8,5,109156
10,36,2,47,5,4,84629
20,32,2,46,2,4,109970
20,44,1,37,7,7,115405
15,46,3,53,3,0,100692
22,40,3,39,10,1,121411
16,29,4,37,10,16,144595
7,43,4,39,10,6,95469
18,49,1,43,10,8,125050
19,51,4,40,2,3,111019
14,39,4,50,3,6,94458
8,40,3,44,4,9,94443
19,43,3,50,10,15,132254
9,47,4,37,7,9,104889
11,50,1,52,10,6,89745
20,41,4,45,1,1,95076
22,27,1,53,6,1,102117
19,42,4,49,6,7,115855
0,30,3,45,8,13,76874
24,43,3,44,2,17,129135
19,35,1,43,2,0,80239
8,50,4,37,1,16,101774
21,54,4,43,3,16,136013
14,33,1,52,7,4,99349
0,24,4,46,8,15,95412
11,38,2,50,7,6,102417
2,43,3,38,9,14,85330
10,53,3,35,8,18,106155
1,54,1,47,8,1,70247
15,54,4,42,2,15,107528
8,37,1,40,1,8,70810
14,48,2,42,6,19,115291
11,34,4,53,7,17,121811
0,54,2,46,6,9,77204
12,31,1,35,7,19,106485
13,33,3,38,8,3,101123
24,53,2,47,2,1,100886
24,22,4,51,1,13,136924
7,54,1,53,10,0,91955
7,49,1,53,8,7,81916
11,24,1,39,8,10,91999
0,32,3,45,8,0,66817
10,46,1,41,10,4,94346
7,48,1,37,7,12,83925
9,23,3,45,2,16,90276
18,40,1,51,4,9,99407
10,30,1,45,9,6,91953
6,38,2,49,8,12,87509
10,47,1,53,4,3,68867
16,51,3,42,8,12,128415
0,47,2,50,10,0,69427
20,21,1,49,6,10,119542
20,26,3,37,9,8,126854
7,31,4,40,1,12,79103
22,54,1,37,6,10,115890
23,40,4,39,4,7,128870
5,41,2,35,3,6,71152
21,41,3,48,5,19,142732
17,38,2,46,10,14,137643
5,41,4,47,8,14,101841
4,39,4,48,10,11,101091
12,24,4,46,6,16,125062
18,33,3,47,1,5,107204
21,38,4,40,6,12,139973
7,49,4,49,7,15,105933
8,45,3,50,6,0,87648
16,33,4,43,3,12,112467
2,47,1,42,9,6,76112
18,39,4,39,10,12,143501
10,21,3,49,10,6,113141
23,39,4,41,4,7,132491
16,21,3,51,5,17,122130
20,37,4,50,5,16,133211
18,41,1,45,3,15,100909
1,42,3,41,2,16,74908
7,35,3,45,8,7,93300
18,52,3,36,7,6,110084
6,24,3,36,5,17,89902
16,52,4,40,1,3,105112
5,24,4,37,10,1,91197
18,21,1,35,1,15,99298
23,53,1,54,8,17,137787
5,27,4,50,4,7,83577
1,29,2,48,4,13,61525
5,21,3,51,9,17,99505
22,36,4,52,2,18,141113
4,38,1,38,5,3,68627
18,26,3,37,6,13,113840
19,22,1,42,6,1,109580
3,29,2,38,10,16,100297
21,24,3,49,3,5,117703
16,43,2,47,10,7,125087
10,28,2,48,6,15,108295
3,45,2,48,10,0,72593
12,36,4,39,10,17,126447
19,37,1,39,5,2,101064
16,38,3,47,8,17,138545
8,47,4,38,4,9,83405
3,35,1,52,10,1,64738
22,37,4,40,10,18,147006
13,25,1,39,3,10,79571
18,36,3,37,6,18,133804
2,35,3,54,10,2,85509
13,54,3,37,9,9,119806
7,39,3,37,8,15,112336
23,28,1,54,10,2,133737
0,30,4,36,8,18,92273
9,25,3,54,3,19,92287
17,46,3,52,1,6,106873
15,42,3,44,3,16,112561
7,43,2,41,3,7,65100
0,33,3,54,6,2,63225
11,29,3,48,3,6,93120
7,40,1,44,2,9,62060
23,48,2,54,9,18,141325
15,44,1,50,6,14,102221
17,53,4,40,5,14,118013
3,40,2,51,3,4,60430
5,50,1,40,7,2,64016
11,29,1,52,7,2,79517
8,37,4,44,4,3,84555
14,34,4,44,10,14,141078
15,39,3,43,2,15,101119
23,27,3,49,2,4,108488
11,23,2,45,8,7,94866
23,53,2,41,4,9,119761
22,52,4,52,7,1,133542
13,31,2,36,3,13,98132
12,22,3,36,9,4,111954
24,46,4,47,10,6,146065
1,24,1,45,9,10,71104
2,37,4,53,7,2,77533
23,37,2,54,7,11,139026
21,48,3,35,1,13,110571
9,50,3,51,10,0,91243
8,43,1,54,8,15,93283
19,44,1,52,2,14,99136
7,49,4,42,8,0,83928
9,24,3,47,2,12,92638
18,49,1,38,1,14,101366
2,39,1,53,8,16,82581
23,47,4,37,4,8,132148
4,49,4,40,10,4,95945
2,26,3,40,6,11,81705
15,43,2,40,10,16,120324
16,28,2,42,10,10,127414
14,22,3,51,1,10,92391
2,33,2,44,9,7,72309
11,41,3,39,7,14,102974
8,51,3,53,5,1,74524
20,47,1,45,6,9,106402
11,43,2,44,3,13,82254
14,41,3,37,9,4,120858
1,33,2,44,2,16,69757
22,46,2,36,10,17,147233
17,27,4,43,1,18,117671
19,42,2,39,1,6,89227
11,43,3,51,10,17,113525
22,50,1,40,2,11,116269
3,38,2,45,6,14,81957
22,38,3,39,6,13,139948
15,30,4,41,9,9,127728
22,50,2,41,10,16,151453
15,46,1,38,4,0,77577
0,27,2,44,8,3,58504
21,27,3,52,4,8,122751
24,25,2,35,3,3,104622
1,21,2,48,4,18,67342
2,38,4,40,1,4,63618
20,33,2,45,9,17,130111
24,45,1,48,5,14,118094
19,28,2,54,7,19,132277
16,30,4,37,3,7,109750
19,52,3,50,5,1,104637
21,37,2,50,10,12,135955
20,35,2,41,4,12,107956
0,35,4,42,7,13,95286
19,40,4,38,5,14,136420
5,35,4,46,2,11,86161
14,26,2,46,3,4,95962
13,50,1,44,8,2,89425
19,28,4,46,3,17,129807
14,51,3,45,7,2,100925
13,52,2,45,5,13,105475
24,35,3,49,7,1,121984
20,38,3,40,10,17,143435
23,33,1,45,9,12,130694
24,44,3,36,7,1,121932
4,34,4,43,6,11,81721
5,48,4,45,1,1,62397
16,31,2,50,4,7,93247
10,26,1,47,8,4,82911
15,45,1,47,1,10,90581
11,21,3,52,6,12,107547
14,45,1,35,2,16,93622
22,22,3,54,9,15,143119
3,52,3,44,8,18,94849
17,33,1,53,9,14,122956
20,53,2,51,9,17,127918
2,52,3,35,2,5,60675
21,44,4,35,2,3,112404
7,47,4,51,9,3,98558
22,24,1,49,2,12,104251
2,44,1,36,4,8,65119
7,43,3,45,2,9,76155
17,49,3,36,1,13,108156
9,54,4,54,10,7,105904
24,41,3,43,7,2,127357
19,50,4,53,5,8,128139
16,46,3,36,3,0,87360
7,40,2,50,8,14,101518
22,36,2,54,5,14,123558
10,23,4,43,1,6,76187
4,45,2,54,9,14,92007
12,43,2,38,5,6,97080
20,21,1,47,3,12,108162
22,53,3,49,6,11,134613
4,35,1,54,8,17,83827
23,37,4,36,2,6,110778
12,54,1,54,3,6,89402
5,37,4,52,7,14,99536
4,24,2,43,2,8,70858
8,33,1,54,5,5,75803
15,24,2,35,9,8,104531
1,27,3,37,7,18,93436
0,29,2,51,3,19,76438
7,43,3,45,2,15,90629
18,53,2,42,10,15,138424
10,53,1,46,9,0,85463
11,40,1,45,9,12,108234
11,24,2,47,9,18,121415
6,21,4,49,10,3,93031
12,54,4,54,3,18,109549
7,47,3,51,1,9,70603
21,41,3,46,9,12,137205
8,44,2,53,7,0,76016
6,35,1,54,2,12,62362
20,45,3,45,6,9,116865
23,29,2,44,9,14,135248
14,37,3,51,8,14,118471
1,41,1,47,6,6,59806
22,33,3,50,6,13,138288
19,23,2,54,8,7,127212
24,24,3,54,9,18,149022
11,24,4,51,8,17,125329
0,48,3,39,1,14,65074
22,27,1,43,2,8,98515
21,46,1,38,6,11,122899
7,31,1,43,8,13,92383
4,44,1,50,4,1,57589
14,30,2,41,4,4,81997
0,33,3,48,2,4,54848
0,39,3,48,10,13,96779
24,39,3,41,1,3,102445
9,32,3,50,10,1,94990
21,42,2,52,9,0,127631
9,50,1,40,7,1,74665
20,32,3,41,9,12,126745
14,49,3,53,2,19,115339
16,41,1,42,10,16,130147
21,31,4,35,5,12,127461
5,38,4,51,2,16,86033
2,47,1,53,10,4,81287
12,32,3,41,7,7,112022
15,43,1,52,9,11,114941
7,54,3,40,3,8,74631
14,43,3,40,1,17,109569
16,45,4,35,4,15,113875
16,24,4,44,4,18,131236
21,50,3,42,6,7,120979
12,50,3,41,5,6,100114
16,33,3,43,5,8,106709
5,34,4,35,9,11,107737
16,28,3,45,1,13,105482
